# title: Vicarello Beakers
# author: Anonymous
# language: la
# date (numeric): 300
# date: around 200 - 400 CE
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# collections: Latin Tradition
toponym;gazetteer_uri;gazetteer_label;lat;lng;place_category;document_part;status;tags;source;comment;img_x;img_y;img_all;
AQVIS VOCONTIS;http://pleiades.stoa.org/places/246174;Aquae Voconiae;41.8382;2.8083;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XV;;;;
SETERRAS;http://pleiades.stoa.org/places/246652;Seterrae;41.7465;2.6355;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XXIIII;;;;
SEMPRONIANA;http://pleiades.stoa.org/places/246576;Praetorium?;41.5827;2.3309;;Vicarello Beaker 1;VERIFIED;"item, route4";;VIIII;;;;
ARRAGONEM;http://pleiades.stoa.org/places/246192;Arrago(na);41.5631;2.1229;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XX;;;;
AD FINES;http://pleiades.stoa.org/places/246135;(Ad) Fines;41.4736;1.9277;;Vicarello Beaker 1;VERIFIED;"item, route4";;XVII;;;;
ANTISTIANAM;http://pleiades.stoa.org/places/246166;Antistiana;41.3106;1.6479;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XIII;;;;
PALFVRIANAM;http://pleiades.stoa.org/places/246551;Palfuriana;41.204;1.5149;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route4";;XVI;;;;
TARRACONEM;http://pleiades.stoa.org/places/246349;Col. Tarraco;41.1192;1.2581;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXV;;;;
SVB SALTVM;http://pleiades.stoa.org/places/246665;Sub Saltu;40.9661;0.8689;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXXVII;;;;
DERTOSAM;http://pleiades.stoa.org/places/246369;Dertosa/Hibera Iulia Ilercavonia;40.8151;0.5238;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXVII;;;;
INTIBILIM;http://pleiades.stoa.org/places/246439;Indibilis;40.4187;0.4231;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXIIII;;;;
ILDVM;http://pleiades.stoa.org/places/265920;Ildum;40.2629;0.0903;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXII;;;;
AD NOVLAS;http://pleiades.stoa.org/places/265778;Ad Novlas;39.9675;-0.1201;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXIIII;;;;
SAGYNTVM;http://pleiades.stoa.org/places/266021;Saguntum/Arse;39.6762;-0.2759;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XVI;;;;
VALENTIAM;http://pleiades.stoa.org/places/266090;Valentia;39.4702;-0.3768;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XX;;;;
SVCRONEM;http://pleiades.stoa.org/places/266052;Sucro;39.1894;-0.4356;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XVI;;;;
SAETABIM;http://pleiades.stoa.org/places/266018;Saetabis;38.9888;-0.5156;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXVIII;;;;
AD ARAS;http://pleiades.stoa.org/places/265766;Ad Aras;38.7087;-0.9874;;Vicarello Beaker 1;VERIFIED;"item";;XXII;;;;
AD PALEM;http://pleiades.stoa.org/places/265779;Ad Palem?;38.746;-1.2307;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXXII;;;;
SALTIGIM;http://pleiades.stoa.org/places/266025;Saltigi;38.9189;-1.729;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XVI;;;;
PARIETINIS;http://pleiades.stoa.org/places/265999;Parietinae;38.9249;-2.0343;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXII;;;;
LIBISOSAM;http://pleiades.stoa.org/places/265949;Libisosa;38.9416;-2.3551;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXIIII;;;;
MENTESAM;http://pleiades.stoa.org/places/265969;Mentesa;38.6922;-2.6948;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XX;;;;
MARIANA;http://pleiades.stoa.org/places/265965;Mariana;38.5474;-2.9275;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XX;;;;
II SOLARIA;http://pleiades.stoa.org/places/265769;Ad Duo Solaria;38.3422;-3.1035;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XIX;;;;
AD MORVM;http://pleiades.stoa.org/places/265774;Ad Morum;38.1847;-3.3154;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XXIIII;;;;
CASTVLONEM;http://pleiades.stoa.org/places/265855;Castulo;38.0358;-3.6236;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item";;XIX;;;;
AD NOVLAS;http://pleiades.stoa.org/places/265777;Ad Novlas;38.005;-3.9195;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XIII;;;;
VCIESEM;http://pleiades.stoa.org/places/266051;(S)Ucia;38.0613;-4.148;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XVIII;;;;
EPORAM;http://pleiades.stoa.org/places/265893;Epora;38.026;-4.3819;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;XVII;;;;
AD X;http://pleiades.stoa.org/places/255952;Ad Decumum;37.9417;-4.6545;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route3";;X;;;;
CORDVBAM;http://pleiades.stoa.org/places/256128;Corduba/Col. Patricia;37.8847;-4.7792;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route 2";;XXIII;;;;
AD ARAS;http://pleiades.stoa.org/places/257485;Untitled;37.6786;-4.9246;MAN_MADE_STRUCTURE;Vicarello Beaker 1;VERIFIED;"item";;XII;;;;
ASTIGIM;http://pleiades.stoa.org/places/255996;Astigi/Col. Augusta Firma;37.5409;-5.08;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route 2";;XV;;;;
OBVCLAM;http://pleiades.stoa.org/places/256332;Obulcula;37.5158;-5.3163;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route 2";;XX;;;;
CARMONEM;http://pleiades.stoa.org/places/256058;Carmo;37.4696;-5.6507;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route 2";;XXII;;;;
HISPALIM;http://pleiades.stoa.org/places/256210;Hispalis/Col. Romula;37.3826;-5.9963;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route1";;VIIII;;;;
ORIPPVM;http://pleiades.stoa.org/places/256343;Orippo;37.2738;-6.0045;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route1";;XXIIII;;;;
VGIAM;http://pleiades.stoa.org/places/256501;U(r)gia;36.9901;-5.8293;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route1";;XXVII;;;;
HASTAM;http://pleiades.stoa.org/places/256193;(H)Asta/Col. Hasta Regia/Ligystine?;36.7865;-6.1815;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route1";;XVI;;;;
AD PORTVM;http://pleiades.stoa.org/places/255955;Ad Portum/Gaditanus Portus;36.6271;-6.1613;;Vicarello Beaker 1;VERIFIED;"item, route1";;XXIIII;;;;
ROMAM;http://pleiades.stoa.org/places/423025;Roma;41.8926;12.4843;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"summary,";;;;;;
GADES;http://pleiades.stoa.org/places/256177;Gadeira/Gades/Col. Augusta Gaditana;36.5284;-6.2944;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"summary, route1";;;;;;
ROMAM;http://pleiades.stoa.org/places/423025;Roma;41.8926;12.4843;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XX;;;;
AD VICESVMO;http://pleiades.stoa.org/places/412998;Ad Vicesimum;42.1484;12.4768;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XXIIII;;;;
OCRICVLO;http://pleiades.stoa.org/places/413231;Ocriculum;42.4136;12.4663;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XII;;;;
NARNIA;http://pleiades.stoa.org/places/413225;Nequinum/Narnia;42.5176;12.5156;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XIII;;;;
AD MARTIS;http://pleiades.stoa.org/places/413380;Vicus Martis;42.7509;12.5318;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVII;;;;
MEVANIA;http://pleiades.stoa.org/places/413200;Mevania;42.9349;12.6094;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XV;;;;
NVCERIA;http://pleiades.stoa.org/places/456102;Nuceria;;;;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVIII;;;;
HELVILIVM;http://pleiades.stoa.org/places/413167;Helvillum;43.2957;12.7621;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XV;;;;
HAESIM;http://pleiades.stoa.org/places/412989;Ad Aesim;43.4035;12.6693;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XIII;;;;
CALE;http://pleiades.stoa.org/places/413058;Cales;43.5468;12.6485;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XIII;;;;
FORO SEMPRONI;http://pleiades.stoa.org/places/413149;Forum Sempronii;43.6974;12.8291;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVIII;;;;
FANO FORTVNAE;http://pleiades.stoa.org/places/413129;Fanum Fortunae;43.8443;13.0181;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;IX;;;;
PISAVRO;http://pleiades.stoa.org/places/413256;Pisaurum;43.911;12.9146;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVI;;;;
ARIMINO;http://pleiades.stoa.org/places/393379;Ariminum;44.0596;12.5703;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XXIIII;;;;
CAESANA;http://pleiades.stoa.org/places/393397;Caesena;44.1391;12.2429;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XV;;;;
FORO LIVI;http://pleiades.stoa.org/places/393426;Forum Livii;44.2212;12.0427;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XIII;;;;
FAVENTIA;http://pleiades.stoa.org/places/393420;Faventia;44.2859;11.8845;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;X;;;;
FORO CORNELI;http://pleiades.stoa.org/places/393424;Forum Cornelii;44.3535;11.7111;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XIII;;;;
CLATERNO;http://pleiades.stoa.org/places/393405;Claterna;44.4421;11.4747;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;X;;;;
BONONIA;http://pleiades.stoa.org/places/393421;Felsina/Bononia;44.4946;11.3418;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XXV;;;;
MVTINA;http://pleiades.stoa.org/places/383715;Mutina;44.6471;10.9252;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVII;;;;
REGIO LEPIDI;http://pleiades.stoa.org/places/383755;Regium Lepidum;44.6977;10.6308;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVIII;;;;
PARMA;http://pleiades.stoa.org/places/383737;Parma;44.8015;10.328;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XXV;;;;
FLORENTIA;http://pleiades.stoa.org/places/383649;Florenti(ol)a;44.9281;9.911;SETTLEMENT;Vicarello Beaker 2;VERIFIED;"item,[route6]";;XVI;;;;
