collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;place_category;document_part;status;tags;comment;img_x;img_y;img_all;source
vb;vb0040;VAPPINCVM;http://pleiades.stoa.org/places/167954;Vappincum;6.0798;44.5596;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVIII;;;;
vb;vb0039;CATVRIGOMAGVM;http://pleiades.stoa.org/places/167701;Caturigomagus;6.276;44.5444;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XII;;;;
vb;vb0038;EBVRODVNVM;http://pleiades.stoa.org/places/167750;Eburodunum;6.4951;44.5623;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVIII;;;;
vb;vb0037;RAMAM;http://pleiades.stoa.org/places/167881;Rama;6.5799;44.7505;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVII;;;;
vb;vb0036;BRIGANTIVM;http://pleiades.stoa.org/places/167691;Brigantio;6.6342;44.8969;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVIII;;;;
vb;vb0035;DRVANTIVM;http://pleiades.stoa.org/places/167743;Druantium/*Alpis Cottia/Summae Alpes;6.7234;44.931;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XI;;;;
vb;vb0034;SEGVSIONEM;http://pleiades.stoa.org/places/167919;Segusio;7.0454;45.1374;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item;XXIIII;;;;
vb;vb0033;OCELVM;http://pleiades.stoa.org/places/383720;Ocelum;7.3319;45.1188;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XXVII;;;;
vb;vb0032;TAVRINIS;http://pleiades.stoa.org/places/383580;Augusta Taurinorum;7.6854;45.0734;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XX;;;;
vb;vb0031;QVADRATA;http://pleiades.stoa.org/places/383753;Quadrata;7.9694;45.1911;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XX;;;;
vb;vb0030;RIGOMAGVM;http://pleiades.stoa.org/places/383759;Rigomagus;8.2974;45.1931;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVI;;;;
vb;vb0029;CVTTIAS;http://pleiades.stoa.org/places/383630;Cuttiae;8.6111;45.1921;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XV;;;;
vb;vb0028;LAVMELLVM;http://pleiades.stoa.org/places/383690;Laumellum;8.7938;45.1227;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XIII;;;;
vb;vb0027;TICINVM;http://pleiades.stoa.org/places/383798;Ticinum;9.1566;45.1859;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XXI;;;;
vb;vb0026;PLAMBRVM;http://pleiades.stoa.org/places/383685;Lambrum;9.5266;45.1574;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XX;;;;
vb;vb0025;PLACENTIAM;http://pleiades.stoa.org/places/383741;Placentia;9.6966;45.0528;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVI;;;;
vb;vb0024;FLORENTIAM;http://pleiades.stoa.org/places/383649;Florenti(ol)a;9.911;44.9281;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XV;;;;
vb;vb0023;PARMAM;http://pleiades.stoa.org/places/383737;Parma;10.328;44.8015;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XXV;;;;
vb;vb0022;LEPIDVM REGIVM;http://pleiades.stoa.org/places/383755;Regium Lepidum;10.6308;44.6977;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVIII;;;;
vb;vb0021;MVTINAM;http://pleiades.stoa.org/places/383715;Mutina;10.9252;44.6471;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVII;;;;
vb;vb0020;BONONIAM;http://pleiades.stoa.org/places/393421;Felsina/Bononia;11.3418;44.4946;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XXV;;;;
vb;vb0019;CLATERNVM;http://pleiades.stoa.org/places/393405;Claterna;11.4747;44.4421;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;X;;;;
vb;vb0018;FORVM CORNELI;http://pleiades.stoa.org/places/393424;Forum Cornelii;11.7111;44.3535;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XIII;;;;
vb;vb0017;FAVENTIAM;http://pleiades.stoa.org/places/393420;Faventia;11.8845;44.2859;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;X;;;;
vb;vb0016;FORVM LIVI;http://pleiades.stoa.org/places/393426;Forum Livii;12.0427;44.2212;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;X;;;;
vb;vb0015;CESENAM;http://pleiades.stoa.org/places/393397;Caesena;12.2429;44.1391;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XIII;;;;
vb;vb0014;ARIMINVM;http://pleiades.stoa.org/places/393379;Ariminum;12.5703;44.0596;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XX;;;;
vb;vb0013;PISAVRVM;http://pleiades.stoa.org/places/413256;Pisaurum;12.9146;43.911;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XXIIII;;;;
vb;vb0012;FANVM FORTVNAE;http://pleiades.stoa.org/places/413129;Fanum Fortunae;13.0181;43.8443;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;VIII;;;;
vb;vb0011;FORVM SEMPRONI;http://pleiades.stoa.org/places/413149;Forum Sempronii;12.8291;43.6974;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVI;;;;
vb;vb0010;AD CALEM;http://pleiades.stoa.org/places/413058;Cales;12.6485;43.5468;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVIII;;;;
vb;vb0009;HESIM;http://pleiades.stoa.org/places/412989;Ad Aesim;12.6693;43.4035;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XIII;;;;
vb;vb0008;HELVILLVM;http://pleiades.stoa.org/places/413167;Helvillum;12.7621;43.2957;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;X;;;;
vb;vb0007;NVCERIAM;http://pleiades.stoa.org/places/456102;Nuceria;12.7915;43.1135;;Vicarello Beaker 1;VERIFIED;item,route6;XV;;;;
vb;vb0006;MEVANIAM;http://pleiades.stoa.org/places/413200;Mevania;12.6094;42.9349;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XIX;;;;
vb;vb0005;AD MARTIS;http://pleiades.stoa.org/places/413380;Vicus Martis;12.5318;42.7509;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVI;;;;
vb;vb0004;NARNIAM;http://pleiades.stoa.org/places/413225;Nequinum/Narnia;12.5156;42.5176;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XVIII;;;;
vb;vb0003;OCRICLO;http://pleiades.stoa.org/places/413231;Ocriculum;12.4663;42.4136;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XII;;;;
vb;vb0002;AD XX;http://pleiades.stoa.org/places/412998;Ad Vicesimum;12.4768;42.1484;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XXIIII;;;;
vb;vb0001;ROMAM;http://pleiades.stoa.org/places/423025;Roma;12.4843;41.8926;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item,route6;XX;;;;
