FID,the_geom,SRC,STATUS,SYS_ID,YZ_LABEL,YZNM_PY,YZNM_CH,YZNM_FT,AT_TWN_PY,GB10_CNTY,10CNTY_CH,10CNTY_EN,10DIST_CH,10DIST_EN,10PROV_CH,10PROV_EN,CHGIS_ID,long,lat
ming_courier_stations_2014_p8k.211,POINT (118.1053695678711 27.339879989624023),MDYZK,Y,213,JIANXI Fujian (???),JIANXI,???,???,,350784,???,Jianyang,???,Nanping,???,Fujian,1690,118.10537,27.33988
ming_courier_stations_2014_p8k.212,POINT (118.13489532470703 39.82760238647461),MDYZK,Y,214,YIFENG Hebei (???),YIFENG,???,???,,130208,???,Fengrun,???,Tangshan,???,Hebei,19,118.1349,39.8276
ming_courier_stations_2014_p8k.213,POINT (118.16918182373047 26.642173767089844),MDYZK,Y,215,JIANPUYI Fujian (???),JIANPUYI,???,???,YANPINGFU,350702,???,Yanping,???,Nanping,???,Fujian,1714,118.16918,26.64217
ming_courier_stations_2014_p8k.214,POINT (118.30416107177734 32.316993713378906),MDYZK,N,217,DALIUSHU Anhui (????),DALIUSHU,????,????,,341102,???,Langya,???,Chuzhou,???,Anhui,20264,118.30416,32.31699
ming_courier_stations_2014_p8k.215,POINT (118.32378387451172 27.038864135742188),MDYZK,N,218,CHENGXIYI Fujian (???),CHENGXIYI,???,???,JIANNINGFU,350783,???,Jianou,???,Nanping,???,Fujian,1687,118.32378,27.03886
ming_courier_stations_2014_p8k.216,POINT (118.61759948730469 32.06486892700195),MDYZK,L,220,JIANGDONGYI Jiangsu (???),JIANGDONGYI,???,???,,320111,???,Pukou,???,Nanjing,???,Jiangsu,1797,118.6176,32.06487
ming_courier_stations_2014_p8k.217,POINT (118.67510223388672 26.428909301757812),MDYZK,Y,222,HUANGTIAN Fujian (???),HUANGTIAN,???,???,,350922,???,Gutian,???,Ningde,???,Fujian,,118.6751,26.42891
ming_courier_stations_2014_p8k.218,POINT (118.46919199999999 39.86640200000002),MDYZK,Y,223,QIJIALINGYI Hebei (????),QIJIALINGYI,????,????,,130283,???,Qianan,???,Tangshan,???,Hebei,16005,118.46919,39.8664
ming_courier_stations_2014_p8k.219,POINT (118.76898956298828 32.05256271362305),MDYZK,N,224,JIANGNINGYI Jiangsu (???),JIANGNINGYI,???,???,Jiangning,320106,???,Gulou,???,Nanjing,???,Jiangsu,1793,118.76899,32.05256
ming_courier_stations_2014_p8k.220,POINT (118.86199951171875 39.87699890136719),MDYZK,Y,225,LUANHE Hebei (???),LUANHE,???,???,,130324,???,Lulong,????,Qinhuangdao,???,Hebei,,118.862,39.877
ming_courier_stations_2014_p8k.221,POINT (118.86764526367188 28.95682144165039),MDYZK,Y,226,SHANGHANG Zhejiang (???),SHANGHANG,???,???,,330802,???,Kecheng,???,Quzhou,???,Zhejiang,1817,118.86765,28.95682
ming_courier_stations_2014_p8k.222,POINT (119.07029724121094 26.214040756225586),MDYZK,Y,228,BAISHA Fujian (???),BAISHA,???,???,,350121,???,Minhou,???,Fuzhou,???,Fujian,,119.0703,26.21404
ming_courier_stations_2014_p8k.223,POINT (119.17237854003906 29.034788131713867),MDYZK,Y,230,TINGBU Zhejiang (???),TINGBU,???,???,,330825,???,Longyou,???,Quzhou,???,Zhejiang,1816,119.17238,29.03479
ming_courier_stations_2014_p8k.224,POINT (119.23016357421875 39.88467025756836),MDYZK,N,231,LUFENGKOU Hebei (????),LUFENGKOU,????,????,,130323,???,Funing,????,Qinhuangdao,???,Hebei,126,119.23016,39.88467
ming_courier_stations_2014_p8k.225,POINT (119.32157897949219 26.07395362854004),MDYZK,Y,233,SANSHAN Fujian (???),SANSHAN,???,???,Fuzhou fu,350102,???,Gulou,???,Fuzhou,???,Fujian,1673,119.32158,26.07395
ming_courier_stations_2014_p8k.226,POINT (119.43718719482422 32.39126968383789),MDYZK,Y,234,YANGZHOU Jiangsu (???),YANGZHOU,???,???,,321002,???,Guangling,???,Yangzhou,???,Jiangsu,9634,119.43719,32.39127
