# title: Ming Dynasty Courier Routes and Postal Stations
# places: places_courier.csv
# timespan: [1368,,,1644,Late Ming Dynasty]
# pub_date: 2014
# segmentType: hroute
# contributors: [Lex Berman (CGA, Harvard Univ); Zhang Wei (Nankai University, Tianjin)]
# description: The Late Ming Dynasty Courier Stations and Routes were compiled primarily from the "Mingdai Yizhankao" by YANG Zhengtai, supplemented for some areas with information derived from the 1908 Postal Atlas. The Courier Stations and Routes were developed for use in an online network analyst application, which calculates the shortest route between selected postal stations on the fly:    http://maps.cga.harvard.edu/chinapostoffice/
# uri: https://github.com/kgeographer/topotime/tree/master/data/source/courier/README_Ming_Courier_Routes_Stations_2014.txt
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;maj_minor;src
courier;4000;4000-85;242;245;PILING Jiangsu (毗陵驿) - XISHAN Jiangsu (锡山驿);{"type":"MultiLineString","coordinates":[[[119.952301025391,31.7827835083008],[120.297668457031,31.574613571167]]]};;;;1;MDYZK
courier;4000;4000-86;245;247;XISHAN Jiangsu (锡山驿) - GUSUYI Jiangsu (姑苏驿);{"type":"MultiLineString","coordinates":[[[120.297668457031,31.574613571167],[120.618621826172,31.3127098083496]]]};;;;1;MDYZK
courier;4000;4000-87;247;248;GUSUYI Jiangsu (姑苏驿) - PINGWANG Jiangsu (平望驿);{"type":"MultiLineString","coordinates":[[[120.618621826172,31.3127098083496],[120.676597595215,30.9877796173096]]]};;;;1;MDYZK
courier;4000;4000-88;248;249;PINGWANG Jiangsu (平望驿) - XISHUI Zhejiang (西水驿);{"type":"MultiLineString","coordinates":[[[120.676597595215,30.9877796173096],[120.753204345703,30.7674694061279]]]};;;;1;MDYZK
courier;4000;4000-89;246;249;ZAOLIN Zhejiang (皂林驿) - XISHUI Zhejiang (西水驿);{"type":"MultiLineString","coordinates":[[[120.753204345703,30.7674694061279],[120.418739318848,30.5304470062256]]]};;;;1;
courier;4000;4000-90;243;246;WUSHAN Zhejiang (吴山驿) - ZAOLIN Zhejiang (皂林驿);{"type":"MultiLineString","coordinates":[[[120.418739318848,30.5304470062256],[119.982902526855,30.3153495788574]]]};;;;1;
courier;4000;4000-91;243;244;WUSHAN Zhejiang (吴山驿) - WULIN Zhejiang (武林驿);{"type":"MultiLineString","coordinates":[[[119.982902526855,30.3153495788574],[120.16862487793,30.2941246032715]]]};;;;1;
courier;4000;4000-92;241;244;HUIJIANG Zhejiang (会江驿) - WULIN Zhejiang (武林驿);{"type":"MultiLineString","coordinates":[[[120.16862487793,30.2941246032715],[119.94775390625,30.0534343719482]]]};;;;1;
courier;4000;4000-93;240;241;TONGJIANG Zhejiang (桐江驿) - HUIJIANG Zhejiang (会江驿);{"type":"MultiLineString","coordinates":[[[119.94775390625,30.0534343719482],[119.664939880371,29.8024578094482]]]};;;;1;
courier;4000;4000-94;238;240;FUCHUN Zhejiang (富春驿) - TONGJIANG Zhejiang (桐江驿);{"type":"MultiLineString","coordinates":[[[119.664939880371,29.8024578094482],[119.49885559082,29.5444812774658]]]};;;;1;
