collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;403;WUZHOU Guangxi (梧州);http://maps.cga.harvard.edu/tgaz/placename/hvd_9565;;111.308571;23.486898;Y;MDYZK;
courier;404;ZHAOPING Guangxi (昭潭驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_386;;110.803612;24.169123;N;MDYZK;
courier;405;ZHAOQING Guangdong (崧台驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9547;;112.453155;23.056921;N;MDYZK;
courier;406;SHANTOU Guangdong (汕头);http://maps.cga.harvard.edu/tgaz/placename/hvd_17055;;116.682884;23.363955;N;PA_1903;
courier;407;ANBU Guangdong (菴埠);http://maps.cga.harvard.edu/tgaz/placename/hvd_125854;;116.684898;23.451500;P;PA_1903;
courier;408;CAITANGXU Guangdong (彩塘市);http://maps.cga.harvard.edu/tgaz/placename/hvd_125859;;116.655524;23.506814;P;PA_1903;
courier;409;LONGHU Guangdong (龙湖);http://maps.cga.harvard.edu/tgaz/placename/hvd_125858;;116.646716;23.555267;N;PA_1903;
courier;410;FUYANG Guangdong (浮阳);http://maps.cga.harvard.edu/tgaz/placename/hvd_125860;;116.602913;23.581436;N;PA_1903;
courier;411;FENGCHENGYI Guangdong (凤城驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9551;;116.636658;23.667706;Y;MDYZK;
courier;412;LIUHUANG Guangdong (馏隍);http://maps.cga.harvard.edu/tgaz/placename/hvd_17053;;116.458000;23.914000;N;PA_1903;
courier;413;XINDU Guangdong (新渡);http://maps.cga.harvard.edu/tgaz/placename/hvd_125898;;116.523247;24.095016;N;PA_1903;
courier;414;JIAYINGFU Guangdong (嘉应);http://maps.cga.harvard.edu/tgaz/placename/hvd_9546;;116.110497;24.315781;N;PA_1903;
courier;415;CHENGJIANGYI Guangdong (程江驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_125874;;116.632820;24.186222;Y;MDYZK;
courier;416;SANHEBA Guangdong (三河灞);http://maps.cga.harvard.edu/tgaz/placename/hvd_16951;;116.563042;24.394690;N;PA_1903;
courier;417;DAPU Guangdong (大埔);http://maps.cga.harvard.edu/tgaz/placename/hvd_284;;116.685440;24.517746;Y;MDYZK;
courier;418;QIDUYI Guangdong (七都驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_125969;;115.976830;24.040634;L;MDYZK;
courier;419;XINGNING Guangdong (兴宁驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_282;;115.727348;24.138691;Y;MDYZK;
courier;420;LUFENG Guangdong (陆丰);http://maps.cga.harvard.edu/tgaz/placename/hvd_318;;115.641083;22.948467;B;PA_1903;
courier;421;NANFENGYI Guangdong (南丰驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_319;;115.335000;22.976000;Y;MDYZK;
courier;422;CHANGLE Guangdong (长乐);http://maps.cga.harvard.edu/tgaz/placename/hvd_281;;115.616440;24.066050;Y;MDYZK;
courier;423;QILINGXU Guangdong (岐岭);http://maps.cga.harvard.edu/tgaz/placename/hvd_126033;;115.447479;24.080870;N;PA_1903;
courier;424;HESHIXU Guangdong (鹤市墟);http://maps.cga.harvard.edu/tgaz/placename/hvd_126037;;115.361618;24.007019;L;PA_1903;
courier;425;LAOLONG Guangdong (老隆);http://maps.cga.harvard.edu/tgaz/placename/hvd_126040;;115.255585;24.099714;N;PA_1903;
courier;426;LONGCHUAN Guangdong (龙川);http://maps.cga.harvard.edu/tgaz/placename/hvd_283;;115.186172;24.060003;Y;MDYZK;
courier;427;LANKOU Guangdong (蓝口);http://maps.cga.harvard.edu/tgaz/placename/hvd_17037;;115.083984;23.956976;N;PA_1903;
