FID,the_geom,MAJ_MINOR,SOURCE
ming_courier_routes_2014_kei.142,"MULTILINESTRING ((114.31919097900402 30.541385650634822, 114.40242799999999 30.353405000000123))",1,MDYZK
ming_courier_routes_2014_kei.143,"MULTILINESTRING ((114.08427400000005 29.807217000000094, 113.8746109008789 29.70835304260254))",1,MDYZK
ming_courier_routes_2014_kei.144,"MULTILINESTRING ((113.2928695678711 29.58813858032238, 113.23332977294933 29.5))",2,
ming_courier_routes_2014_kei.145,"MULTILINESTRING ((112.97813415527344 28.198198318481445, 112.91126251220703 27.872697830200195))",1,MDYZK
ming_courier_routes_2014_kei.146,"MULTILINESTRING ((112.88561459881646 27.38251119971619, 112.85241699218761 27.245645523071346))",1,MDYZK
ming_courier_routes_2014_kei.147,"MULTILINESTRING ((112.8524169921875 27.24564552307129, 112.59703826904297 26.9016170501709))",1,MDYZK
ming_courier_routes_2014_kei.148,"MULTILINESTRING ((112.22751100000005 26.792783000000156, 111.85589599609375 26.59169197082514))",1,MDYZK
ming_courier_routes_2014_kei.149,"MULTILINESTRING ((111.58422800000005 26.443543000000034, 111.61256408691412 26.210338592529297))",1,
ming_courier_routes_2014_kei.150,"MULTILINESTRING ((111.61256408691406 26.210338592529297, 111.06500244140625 25.931814193725586))",1,
ming_courier_routes_2014_kei.151,"MULTILINESTRING ((111.06500244140625 25.931814193725586, 110.6658706665039 25.61313247680664))",1,
ming_courier_routes_2014_kei.152,"MULTILINESTRING ((110.6658706665039 25.61313247680664, 110.3836898803711 25.46320343017578))",1,
ming_courier_routes_2014_kei.153,"MULTILINESTRING ((110.3836898803711 25.46320343017578, 110.28626251220703 25.280059814453125))",1,
ming_courier_routes_2014_kei.154,"MULTILINESTRING ((113.71908569335938 34.39732360839844, 113.46705627441406 34.16249084472656))",1,MDYZK
ming_courier_routes_2014_kei.155,"MULTILINESTRING ((113.46705627441406 34.16249084472656, 113.47236633300781 33.85369110107422))",1,MDYZK
ming_courier_routes_2014_kei.156,"MULTILINESTRING ((113.47236633300781 33.85369110107422, 113.34552764892578 33.6233024597168))",1,MDYZK
ming_courier_routes_2014_kei.157,"MULTILINESTRING ((113.34552764892578 33.6233024597168, 112.99250793457031 33.26007843017578))",1,
ming_courier_routes_2014_kei.158,"MULTILINESTRING ((112.99250793457031 33.26007843017578, 112.71179962158203 33.16429138183594))",1,MDYZK
ming_courier_routes_2014_kei.159,"MULTILINESTRING ((112.51099999999997 32.75500000000005, 112.35842895507824 32.524871826171875))",1,MDYZK
ming_courier_routes_2014_kei.160,"MULTILINESTRING ((112.35842895507824 32.524871826171875, 112.228928 32.26555300000001))",1,MDYZK
ming_courier_routes_2014_kei.161,"MULTILINESTRING ((112.15586199999996 32.02028300000012, 112.26013183593761 31.710700988769588))",1,
ming_courier_routes_2014_kei.162,"MULTILINESTRING ((112.26013183593761 31.710700988769588, 112.31873300000007 31.433531000000073))",1,MDYZK
ming_courier_routes_2014_kei.163,"MULTILINESTRING ((112.18094600000018 30.69174600000008, 112.19077301025402 30.35044479370123))",1,
ming_courier_routes_2014_kei.164,"MULTILINESTRING ((112.19077301025402 30.35044479370123, 112.30000305175793 30.20000076293951))",1,MDYZK
ming_courier_routes_2014_kei.165,"MULTILINESTRING ((112.0781021118164 29.914501190185547, 111.75698852539062 29.640151977539062))",1,
ming_courier_routes_2014_kei.166,"MULTILINESTRING ((111.60265181057378 29.20609820127015, 111.69129943847656 29.03480720520031))",1,MDYZK
ming_courier_routes_2014_kei.167,"MULTILINESTRING ((111.69129943847656 29.034807205200195, 111.47776794433594 28.90159797668457))",1,
ming_courier_routes_2014_kei.168,"MULTILINESTRING ((110.39696502685547 28.458190917968693, 110.39209 28.440548000000035))",1,
ming_courier_routes_2014_kei.169,"MULTILINESTRING ((110.23332977294922 27.899999618530387, 110.11225900000011 27.62009800000004))",1,
ming_courier_routes_2014_kei.170,"MULTILINESTRING ((109.1985092163086 27.381704330444336, 108.91154479980469 27.235931396484375))",1,
ming_courier_routes_2014_kei.171,"MULTILINESTRING ((108.91154479980469 27.235931396484375, 108.73037719726562 27.126684188842773))",1,
ming_courier_routes_2014_kei.172,"MULTILINESTRING ((108.73037719726562 27.126684188842773, 108.41844940185547 27.054264068603516))",1,
ming_courier_routes_2014_kei.173,"MULTILINESTRING ((108.41844940185547 27.054264068603516, 108.11892700195312 27.037273406982422))",1,
ming_courier_routes_2014_kei.174,"MULTILINESTRING ((108.11892700195324 27.037273406982536, 107.78897857666027 26.658317565918026))",1,
ming_courier_routes_2014_kei.175,"MULTILINESTRING ((107.78897857666016 26.65831756591797, 107.2396240234375 26.58564567565918))",1,
ming_courier_routes_2014_kei.176,"MULTILINESTRING ((107.2396240234375 26.58564567565918, 106.98106384277344 26.458335876464844))",1,
ming_courier_routes_2014_kei.177,"MULTILINESTRING ((106.98106384277344 26.458335876464844, 106.70911407470703 26.580778121948242))",1,
ming_courier_routes_2014_kei.178,"MULTILINESTRING ((106.70911407470703 26.580778121948242, 106.46762084960938 26.556049346923828))",1,
