id;source;target;label;geom;maj_minor;src
90;237;238;GUSHUI Zhejiang (濲水驿) - FUCHUN Zhejiang (富春驿);{"type":"MultiLineString","coordinates":[[[119.49885559082,29.5444812774658],[119.478851318359,29.2044525146484]]]};1;
91;230;237;TINGBU Zhejiang (亭步驿) - GUSHUI Zhejiang (濲水驿);{"type":"MultiLineString","coordinates":[[[119.478851318359,29.2044525146484],[119.172378540039,29.0347881317139]]]};1;
92;226;230;SHANGHANG Zhejiang (上航驿) - TINGBU Zhejiang (亭步驿);{"type":"MultiLineString","coordinates":[[[119.172378540039,29.0347881317139],[118.867645263672,28.9568214416504]]]};1;
93;226;919;SHANGHANG Zhejiang (上航驿) - CHANGSHANYI Zhejiang (常山驿);{"type":"MultiLineString","coordinates":[[[118.867645263672,28.9568214416505],[118.502663,28.903732]]]};1;
94;919;920;CHANGSHANYI Zhejiang (常山驿) - CAOPINGYI Jiangxi (草平驿);{"type":"MultiLineString","coordinates":[[[118.502663,28.903732],[118.344015,28.8124770000001]]]};1;
95;218;911;CHENGXIYI Fujian (城西驿) - YEFANGYI Fujian (叶坊驿);{"type":"MultiLineString","coordinates":[[[118.221629003813,27.1677459969581],[118.323783874512,27.0388641357422]]]};1;
96;218;910;CHENGXIYI Fujian (城西驿) - TAIPINGYI Fujian (太平驿);{"type":"MultiLineString","coordinates":[[[118.323783874512,27.0388641357422],[118.290583,26.9105930000002]]]};1;
97;215;887;JIANPUYI Fujian (剑浦驿) - CHAYANGYI Fujian (茶洋驿);{"type":"MultiLineString","coordinates":[[[118.16918182373,26.64217376709],[118.409354,26.5142730000001]]]};1;
98;222;888;HUANGTIAN Fujian (黄田驿) - SHUIKOUYI Fujian (水口驿);{"type":"MultiLineString","coordinates":[[[118.675102233887,26.4289093017579],[118.761289378539,26.3591759546095]]]};1;
99;228;233;BAISHA Fujian (白沙驿) - SANSHAN Fujian (三山驿);{"type":"MultiLineString","coordinates":[[[119.08115400477,26.2090169945714],[119.321578979492,26.07395362854]]]};1;
